0_1_1_1,23
0_5_2_1,326
0_5_3_1,936
0_6_1_1,425
10_1_1_1,2536
10_1_2_1,2757
10_1_3_1,2597
10_1_4_1,2969
10_1_5_1,2632
10_1_6_1,2648
10_1_7_1,2900
10_1_9_1,2915
10_3_1_1,2771
10_3_1_2,3116
10_3_1_3,3271
10_3_1_4,3336
10_3_1_5,3381
10_3_2_1,2763
10_3_2_2,3222
10_3_2_3,3347
10_3_2_4,3447
10_3_2_5,3403
10_3_3_1,2795
10_3_3_2,3035
10_3_3_3,3148
10_3_3_4,3290
10_3_3_5,3312
10_3_4_1,3118
10_3_4_2,3494
10_3_4_3,3565
10_3_4_4,3592
10_3_4_5,3567
10_3_5_1,3098
10_3_5_2,3510
10_3_5_3,3524
10_3_5_4,3597
10_3_5_5,3541
11_0_0,3056
13_2_0,3915
13_3_1_1,3205
13_3_1_2,3954
13_3_1_3,4005
13_3_1_4,4067
13_3_1_5,4007
13_3_1_6,4043
14_0_0,1462
14_1_0,1692
14_2a_1,2409
14_2a_2,2387
14_2a_3,2561
14_2a_5,2599
14_3_2,2536
14_3_4,2685
2_0_0,438
2_0b_2,2476
2_0b_4,1886
2_0b_6,1996
2_0b_7,1990
2_1_1,531
2_1_11,940
2_1_3,744
2_1_4,733
2_1_5,1208
2_1_6,823
2_1_7,1242
2_1_8,956
2_1_9,910
2_2_1,1132
2_2_2,1260
2_2_4,1350
3_0_2,1743
3_0_4,1844
3_0_8,2028
3_2_0,506
3_2a_1,2003
3_2a_3,2363
3_2a_5,2086
3_2a_6,1984
3_2a_9,2190
3_3_1,2100
3_3_3,2293
3_3_4,2317
4_0_0,303
4_4_0,1722
4_6a_1_1,2699
4_6a_1_10,3477
4_6a_1_11,3453
4_6a_1_12,3544
4_6a_1_13,2673
4_6a_1_14,3095
4_6a_1_15,3466
4_6a_1_16,3578
4_6a_1_17,3016
4_6a_1_18,2849
4_6a_1_19,3594
4_6a_1_2,2765
4_6a_1_20,3633
4_6a_1_22,3412
4_6a_1_23,3573
4_6a_1_25,3333
4_6a_1_26,3622
4_6a_1_27,3722
4_6a_1_28,3762
4_6a_1_29,3783
4_6a_1_3,3527
4_6a_1_30,3473
4_6a_1_31,2867
4_6a_1_4,2979
4_6a_1_5,3352
4_6a_1_6,3372
4_6a_1_7,2724
4_6a_1_8,2719
4_6a_1_9,3334
4_6a_2_1,4015
4_6a_2_10,3265
4_6a_2_11,3298
4_6a_2_12,3267
4_6a_2_13,4048
4_6a_2_14,3670
4_6a_2_15,3311
4_6a_2_16,3207
4_6a_2_17,3754
4_6a_2_18,3926
4_6a_2_19,3276
4_6a_2_2,3969
4_6a_2_20,3238
4_6a_2_22,3463
4_6a_2_23,3309
4_6a_2_25,3564
4_6a_2_26,3232
4_6a_2_27,3177
4_6a_2_28,3115
4_6a_2_29,3165
4_6a_2_3,3212
4_6a_2_30,3437
4_6a_2_31,3965
4_6a_2_4,3758
4_6a_2_5,3374
4_6a_2_6,3453
4_6a_2_7,4030
4_6a_2_8,4039
4_6a_2_9,3444
4_6a_3_1,2925
4_6a_3_10,3811
4_6a_3_11,3819
4_6a_3_12,3826
4_6a_3_13,3451
4_6a_3_14,3825
4_6a_3_15,3860
4_6a_3_16,3851
4_6a_3_17,3826
4_6a_3_18,3802
4_6a_3_19,3866
4_6a_3_2,2965
4_6a_3_20,3882
4_6a_3_22,3874
4_6a_3_23,3885
4_6a_3_25,3865
4_6a_3_26,3859
4_6a_3_27,3884
4_6a_3_28,3885
4_6a_3_29,3886
4_6a_3_3,3593
4_6a_3_30,3827
4_6a_3_31,3107
4_6a_3_4,3165
4_6a_3_5,3584
4_6a_3_6,3857
4_6a_3_7,2935
4_6a_3_8,3696
4_6a_3_9,3556
4_6a_4_1,3908
4_6a_4_10,3005
4_6a_4_11,3005
4_6a_4_12,3018
4_6a_4_13,3470
4_6a_4_14,3365
4_6a_4_15,3348
4_6a_4_16,3334
4_6a_4_17,3347
4_6a_4_18,3473
4_6a_4_19,3357
4_6a_4_2,3886
4_6a_4_20,3329
4_6a_4_22,3370
4_6a_4_23,3348
4_6a_4_25,3403
4_6a_4_26,3333
4_6a_4_27,3281
4_6a_4_28,3284
4_6a_4_29,3271
4_6a_4_3,3252
4_6a_4_30,3369
4_6a_4_31,3868
4_6a_4_4,3684
4_6a_4_5,3287
4_6a_4_6,3281
4_6a_4_7,3920
4_6a_4_8,3136
4_6a_4_9,3284
4_6a_5_1,3494
4_6a_5_10,3745
4_6a_5_11,3630
4_6a_5_12,3843
4_6a_5_13,3525
4_6a_5_14,3452
4_6a_5_15,3732
4_6a_5_16,3739
4_6a_5_17,3683
4_6a_5_18,3388
4_6a_5_19,3884
4_6a_5_2,3519
4_6a_5_20,3883
4_6a_5_22,3885
4_6a_5_23,3894
4_6a_5_25,3847
4_6a_5_26,3877
4_6a_5_27,3881
4_6a_5_28,3893
4_6a_5_29,3889
4_6a_5_3,3789
4_6a_5_30,3852
4_6a_5_31,3296
4_6a_5_4,3600
4_6a_5_5,3735
4_6a_5_6,3877
4_6a_5_7,3475
4_6a_5_8,3730
4_6a_5_9,3724
4_6a_6_1,3391
4_6a_6_10,3149
4_6a_6_11,3310
4_6a_6_12,3083
4_6a_6_13,3477
4_6a_6_14,3470
4_6a_6_15,3215
4_6a_6_16,3181
4_6a_6_17,3245
4_6a_6_18,3614
4_6a_6_19,3228
4_6a_6_2,3390
4_6a_6_20,3196
4_6a_6_22,3250
4_6a_6_23,3220
4_6a_6_25,3314
4_6a_6_26,3215
4_6a_6_27,3200
4_6a_6_28,3189
4_6a_6_29,3211
4_6a_6_3,3170
4_6a_6_30,3328
4_6a_6_31,3729
4_6a_6_4,3325
4_6a_6_5,3192
4_6a_6_6,3175
4_6a_6_7,3518
4_6a_6_8,3235
4_6a_6_9,3235
4_6b_1_1,3662
4_6b_1_10,3876
4_6b_1_11,3850
